ligand_id,smiles,canonical_smiles,chembl_id,group,source,activity_type,relation,value_nM,p_activity,heavy_atoms,mw,num_rot_bonds,murcko_scaffold,vina_affinity,vina_affinity_2,n_poses,seconds,hit_7,pred_pIC50,pred_pose,pred_pIC50_var
CHEMBL277138,Cc1ccccc1S(=O)(=O)Nc2cccc(c2)C(c3c(c4c(oc3=O)CCCCCC4)O)C5CC5,Cc1ccccc1S(=O)(=O)Nc1cccc(C(c2c(O)c3c(oc2=O)CCCCCC3)C2CC2)c1,CHEMBL277138,positive,DUD-E actives_nM_chembl,Ki,=,9.0,8.045757490560675,35,493.63,6,O=c1oc2c(cc1C(c1cccc(NS(=O)(=O)c3ccccc3)c1)C1CC1)CCCCCC2,-7.531,-7.421,5,231.9,True,6.3378906,0.18794264,1.3196665
CHEMBL121855,CC(C)c1ccc(c(c1)SC2=C(OC(CC2=O)(CCc3ccccc3)c4ccccc4)O)C(C)C,CC(C)c1ccc(C(C)C)c(SC2=C(O)OC(CCc3ccccc3)(c3ccccc3)CC2=O)c1,CHEMBL121855,positive,DUD-E actives_nM_chembl,IC50,=,14.0,7.853871964321762,35,486.68,8,O=C1CC(CCc2ccccc2)(c2ccccc2)OC=C1Sc1ccccc1,-8.789,-8.467,5,108.4,True,7.3476562,0.21453089,1.2303568
CHEMBL179323,Cc1ccc(cc1)S(=O)(=O)NCCC[C@@H](C(=O)O)NC(=O)OCC2c3ccccc3-c4c2cccc4,Cc1ccc(S(=O)(=O)NCCC[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1,CHEMBL179323,positive,DUD-E actives_nM_chembl,Ki,=,26.2,7.581698708680254,36,508.6,10,O=C(NCCCCNS(=O)(=O)c1ccccc1)OCC1c2ccccc2-c2ccccc21,-8.16,-8.063,5,169.6,True,7.5478516,0.46799827,0.55424374
CHEMBL343044,COCCC1CCCCCc2c1oc(c(c2=O)C(c3ccccc3)C4CC4)O,COCCC1CCCCCc2c1oc(O)c(C(c1ccccc1)C1CC1)c2=O,CHEMBL343044,positive,DUD-E actives_nM_chembl,Ki,=,28.0,7.552841968657781,28,382.5,6,O=c1c(C(c2ccccc2)C2CC2)coc2c1CCCCCC2,-6.215,-6.137,5,150.2,False,5.870117,0.12404093,0.30918756
CHEMBL35980,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3ccc(cc3)C#N)Cc4ccc(cc4)C#N)Cc5ccccc5)O)O,N#Cc1ccc(CN2C(=O)N(Cc3ccc(C#N)cc3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)cc1,CHEMBL35980,positive,DUD-E actives_nM_chembl,Ki,=,52.0,7.2839966563652,42,556.67,8,O=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)CC[C@@H](Cc2ccccc2)N1Cc1ccccc1,-7.412,-7.334,5,464.4,True,8.34082,0.43460023,0.102064766
CHEMBL23309,CCC(C)C(C(=O)NCc1ccccn1)NC(=O)C(C(C)C)NCC(C(CC2CCCCC2)N(C(=O)C)C(C)(C)C)O,CCC(C)C(NC(=O)C(NCC(O)C(CC1CCCCC1)N(C(C)=O)C(C)(C)C)C(C)C)C(=O)NCc1ccccn1,CHEMBL23309,positive,DUD-E actives_nM_chembl,Ki,=,70.0,7.154901959985743,42,587.85,15,O=C(CNCCCCC1CCCCC1)NCC(=O)NCc1ccccn1,-8.058,-7.867,5,283.5,True,7.7871094,0.34249848,0.24386089
CHEMBL294635,c1ccc(cc1)C[C@@H](C(=O)N2CCC(=O)C2Sc3ccccc3)NC(=O)c4cccnc4,O=C(N[C@@H](Cc1ccccc1)C(=O)N1CCC(=O)C1Sc1ccccc1)c1cccnc1,CHEMBL294635,positive,DUD-E actives_nM_chembl,IC50,=,100.0,7.0,32,445.54,7,O=C(N[C@@H](Cc1ccccc1)C(=O)N1CCC(=O)C1Sc1ccccc1)c1cccnc1,-8.053,-8.025,5,87.2,True,7.270508,0.2973938,0.483565
CHEMBL62390,Cc1ccsc1SC2=C(OC(CC2=O)(CCc3ccccc3)c4ccccc4)O,Cc1ccsc1SC1=C(O)OC(CCc2ccccc2)(c2ccccc2)CC1=O,CHEMBL62390,positive,DUD-E actives_nM_chembl,IC50,=,195.0,6.709965388637482,29,422.57,6,O=C1CC(CCc2ccccc2)(c2ccccc2)OC=C1Sc1cccs1,-8.316,-8.228,5,49.3,True,6.3720703,0.14784795,1.0462176
CHEMBL12707,CC(C)c1ccccc1Sc2c(cc(oc2=O)c3ccccc3Cl)O,CC(C)c1ccccc1Sc1c(O)cc(-c2ccccc2Cl)oc1=O,CHEMBL12707,positive,DUD-E actives_nM_chembl,IC50,=,225.0,6.647817481888637,25,372.87,4,O=c1oc(-c2ccccc2)ccc1Sc1ccccc1,-8.091,-8.058,5,33.5,True,5.7353516,0.07406553,2.2343075
CHEMBL139434,c1ccc(cc1)CC2CCCCCCc3c2oc(c(c3=O)C(C4CC4)C5CC5)O,O=c1c2c(oc(O)c1C(C1CC1)C1CC1)C(Cc1ccccc1)CCCCCC2,CHEMBL139434,positive,DUD-E actives_nM_chembl,Ki,=,260.0,6.585026652029182,29,392.54,5,O=c1c(C(C2CC2)C2CC2)coc2c1CCCCCCC2Cc1ccccc1,-6.348,-5.944,5,174.6,False,6.1591797,0.23390962,0.3225441
CHEMBL37624,Cc1ccc(c(c1)NC(c2c(cccc2Cl)Cl)C(=O)N)C(=O)C,CC(=O)c1ccc(C)cc1NC(C(N)=O)c1c(Cl)cccc1Cl,CHEMBL37624,positive,DUD-E actives_nM_chembl,IC50,=,500.0,6.301029995663981,23,351.23,5,c1ccc(CNc2ccccc2)cc1,-7.144,-7.088,5,31.4,True,5.5302734,0.32815996,0.43742242
CHEMBL146380,c1ccc(cc1)C[C@@H]([C@@H]2[C@H](N(C(=O)N2CC3CC3)CC4CC4)[C@H](Cc5ccccc5)F)F,O=C1N(CC2CC2)[C@H]([C@@H](F)Cc2ccccc2)[C@@H]([C@@H](F)Cc2ccccc2)N1CC1CC1,CHEMBL146380,positive,DUD-E actives_nM_chembl,Ki,=,980.0,6.008773924307505,32,438.56,10,O=C1N(CC2CC2)[C@H](CCc2ccccc2)[C@@H](CCc2ccccc2)N1CC1CC1,-8.017,-7.931,5,106.0,True,7.5878906,0.35781732,1.6977692
CHEMBL440364,CC(C)C(C(=O)O)NC(=O)[C@H]1[C@H](O1)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CC(C)C(NC(=O)[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,CHEMBL440364,negative,DUD-E inactives_nM_chembl,Ki,>,10000000.0,2.0,32,440.5,10,O=C(N[C@@H](Cc1ccccc1)[C@@H]1CO1)OCc1ccccc1,-8.469,-8.191,5,110.6,True,5.928711,0.16569687,0.419885
CHEMBL25704,c1ccc(cc1)C[C@H]2C([C@@H](NC(=O)N2)Cc3ccccc3)O,O=C1N[C@@H](Cc2ccccc2)C(O)[C@H](Cc2ccccc2)N1,CHEMBL25704,negative,DUD-E inactives_nM_chembl,IC50,>,100000.0,4.0,22,296.37,4,O=C1N[C@@H](Cc2ccccc2)C[C@H](Cc2ccccc2)N1,-7.938,-7.814,5,28.0,True,5.1640625,0.5424989,0.37773642
CHEMBL39772,c1ccc(cc1)CCC(=O)NCC(=O)OCc2ccccc2,O=C(CCc1ccccc1)NCC(=O)OCc1ccccc1,CHEMBL39772,negative,DUD-E inactives_nM_chembl,IC50,>,3000000.0,2.5228787452803374,22,297.35,7,O=C(CCc1ccccc1)NCC(=O)OCc1ccccc1,-7.561,-7.454,5,38.4,True,4.984375,0.2936108,0.8047994
CHEMBL109276,Cc1cn(c(=O)[nH]c1=O)[C@H]2CC(C(O2)CO)(F)F,Cc1cn([C@H]2CC(F)(F)C(CO)O2)c(=O)[nH]c1=O,CHEMBL109276,negative,DUD-E inactives_nM_chembl,EC50,>,100000.0,4.0,18,262.21,2,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,-6.584,-6.025,5,15.5,False,4.1782227,0.08763406,0.6406285
CHEMBL43922,C[C@@H](/C=C/[C@@H](Cc1ccccc1)C(=O)N[C@@H](C(C)C)C(=O)OC)C(=O)N[C@@H](C(C)C)C(=O)OC,COC(=O)[C@@H](NC(=O)[C@@H](C)/C=C/[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)OC)C(C)C)C(C)C,CHEMBL43922,negative,DUD-E inactives_nM_chembl,Ki,>,67000.0,4.173925197299174,34,474.6,12,c1ccccc1,-7.514,-7.399,5,123.6,True,6.0703125,0.20430869,0.73798627
CHEMBL37953,c1ccc(cc1)CCS(=NCC(=O)OCc2ccccc2)(=O)N,NS(=O)(CCc1ccccc1)=NCC(=O)OCc1ccccc1,CHEMBL37953,negative,DUD-E inactives_nM_chembl,IC50,>,5000000.0,2.3010299956639813,23,332.43,7,O=C(CN=[SH](=O)CCc1ccccc1)OCc1ccccc1,-7.71,-7.658,5,43.3,True,5.2314453,0.14019407,0.5123227
CHEMBL313993,CC(C)(C)NC(=O)C(Cc1ccccc1)NCC([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)O,CC(C)(C)NC(=O)C(Cc1ccccc1)NCC(O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,CHEMBL313993,negative,DUD-E inactives_nM_chembl,IC50,>,100000.0,4.0,35,483.65,10,c1ccc(CCCCNCCc2ccccc2)cc1,-7.823,-7.717,5,151.7,True,8.160156,0.75320923,0.35301718
CHEMBL81697,CCOC(=O)C(c1c(=O)c2ccccc2oc1O)c3c(=O)c4ccccc4oc3O,CCOC(=O)C(c1c(O)oc2ccccc2c1=O)c1c(O)oc2ccccc2c1=O,CHEMBL81697,negative,DUD-E inactives_nM_chembl,IC50,>,100000.0,4.0,30,408.36,4,O=c1c(Cc2coc3ccccc3c2=O)coc2ccccc12,-8.478,-8.357,5,51.5,True,4.4799805,0.10590986,1.0262104
CHEMBL109720,c1nc2c(n1[C@H]3CC(C(O3)CO)(F)F)nc(nc2O)N,Nc1nc(O)c2ncn([C@H]3CC(F)(F)C(CO)O3)c2n1,CHEMBL109720,negative,DUD-E inactives_nM_chembl,EC50,>,100000.0,4.0,20,287.23,2,c1ncc2ncn([C@H]3CCCO3)c2n1,-6.848,-6.571,5,24.2,False,4.783203,0.17440638,0.30800882
CHEMBL116537,c1ccc(cc1)COC[C@H]([C@@H]([C@@H]([C@H](COCc2ccccc2)OCc3ccccc3)O)O)OCc4ccccc4,O[C@H]([C@H](O)[C@H](COCc1ccccc1)OCc1ccccc1)[C@@H](COCc1ccccc1)OCc1ccccc1,CHEMBL116537,negative,DUD-E inactives_nM_chembl,IC50,>,50000.0,4.301029995663981,40,542.67,17,c1ccc(COC[C@@H](CC[C@@H](COCc2ccccc2)OCc2ccccc2)OCc2ccccc2)cc1,-7.982,-7.801,5,298.3,True,6.625,0.69043636,1.2621765
CHEMBL84254,c1ccc2c(c1)c(c(c(=O)o2)C(=O)c3cccc(c3)N(=O)=O)O,O=C(c1cccc([N+](=O)[O-])c1)c1c(O)c2ccccc2oc1=O,CHEMBL84254,negative,DUD-E inactives_nM_chembl,IC50,>,100000.0,4.0,23,311.25,3,O=C(c1ccccc1)c1cc2ccccc2oc1=O,-7.821,-7.538,5,20.3,True,4.315918,0.26970848,0.26373896
CHEMBL90284,COc1ccccc1CCCCc2c(=O)c3ccc(cc3oc2O)OCc4ccccc4,COc1ccccc1CCCCc1c(O)oc2cc(OCc3ccccc3)ccc2c1=O,CHEMBL90284,negative,DUD-E inactives_nM_chembl,IC50,>,100000.0,4.0,32,430.5,9,O=c1c(CCCCc2ccccc2)coc2cc(OCc3ccccc3)ccc12,-7.427,-7.171,5,89.2,True,5.0063477,0.08469525,0.63602036
CHEMBL273330,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)OC(=O)CC(C)(C)CC(=O)O)C)C(=O)O,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)CC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CHEMBL273330,negative,DUD-E inactives_nM_chembl,IC50,>,167000.0,3.7772835288524167,43,598.87,7,C1CC[C@@H]2CCC3C4CCC5CCC[C@@H]5[C@H]4CC[C@@H]3C2C1,-8.81,-8.436,5,121.0,True,6.9248047,0.15908463,0.03345108
CHEMBL318293,CC(C)(C)C(=O)Nc1ccccc1SCC(Cc2ccccc2C(=O)NC(C)(C)C)O,CC(C)(C)NC(=O)c1ccccc1CC(O)CSc1ccccc1NC(=O)C(C)(C)C,CHEMBL318293,negative,DUD-E inactives_nM_chembl,IC50,>,200000.0,3.6989700043360183,31,442.63,7,c1ccc(CCCSc2ccccc2)cc1,-8.286,-8.232,5,90.6,True,6.8496094,0.38682032,0.9776459
CHEMBL310437,Cc1ccc(cc1)S(=O)(=O)c2c(c3ccc(cc3oc2=O)OC)O,COc1ccc2c(O)c(S(=O)(=O)c3ccc(C)cc3)c(=O)oc2c1,CHEMBL310437,negative,DUD-E inactives_nM_chembl,IC50,>,100000.0,4.0,24,346.36,3,O=c1oc2ccccc2cc1S(=O)(=O)c1ccccc1,-7.553,-7.48,5,19.8,True,4.5166016,0.029862994,0.84418106
CHEMBL105589,CC(=O)NCCNC(=O)[C@H]1C(S[C@@H](N1)[C@@H](C(=O)OC)NC(=O)Cc2ccccc2)(C)C,COC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(C)=O)C(C)(C)S1,CHEMBL105589,negative,DUD-E inactives_nM_chembl,IC50,>,55000.0,4.259637310505756,31,450.56,9,O=C(Cc1ccccc1)NC[C@@H]1NCCS1,-7.46,-7.385,5,104.5,True,6.807617,0.16766751,0.27268854
CHEMBL109218,c1nc2c(c(n1)O)ncn2[C@@H]3CC(C(O3)CO)(F)F,OCC1O[C@H](n2cnc3c(O)ncnc32)CC1(F)F,CHEMBL109218,negative,DUD-E inactives_nM_chembl,EC50,>,100000.0,4.0,19,272.21,2,c1ncc2ncn([C@@H]3CCCO3)c2n1,-6.444,-6.388,5,18.8,False,5.709961,0.6172898,0.8383827
CHEMBL35046,CC(C)CN1CC(C[C@@H]1C(=O)NC(C)(C)C)(CNC(=O)OC(C)(C)C)O,CC(C)CN1CC(O)(CNC(=O)OC(C)(C)C)C[C@@H]1C(=O)NC(C)(C)C,CHEMBL35046,negative,DUD-E inactives_nM_chembl,IC50,>,90000.0,4.045757490560675,26,371.52,5,C1CCNC1,-6.794,-6.402,5,55.3,False,6.100586,0.2586678,0.47188696
CHEMBL329627,c1ccc(cc1)C[C@]2(CCC[C@@](C2O)(Cc3ccccc3)O)O,OC1[C@@](O)(Cc2ccccc2)CCC[C@]1(O)Cc1ccccc1,CHEMBL329627,negative,DUD-E inactives_nM_chembl,Ki,>,2000000.0,2.6989700043360187,23,312.41,4,c1ccc(CC2CCCC(Cc3ccccc3)C2)cc1,-8.056,-7.467,5,29.9,True,5.3603516,0.6757026,0.5854327
CHEMBL333820,c1nc(c2c(n1)n(cn2)[C@H]3C=C(C(O3)CO)F)N,Nc1ncnc2c1ncn2[C@H]1C=C(F)C(CO)O1,CHEMBL333820,negative,DUD-E inactives_nM_chembl,EC50,>,100000.0,4.0,18,251.22,2,C1=C[C@H](n2cnc3cncnc32)OC1,-6.299,-6.12,5,14.9,False,4.2216797,0.021976668,0.68675107
CHEMBL37048,COC(=O)[C@H](Cc1ccccc1)N=S(=O)(CCc2ccccc2)N,COC(=O)[C@H](Cc1ccccc1)N=S(N)(=O)CCc1ccccc1,CHEMBL37048,negative,DUD-E inactives_nM_chembl,IC50,>,5000000.0,2.3010299956639813,24,346.45,7,O=[SH](CCc1ccccc1)=NCCc1ccccc1,-6.98,-6.939,5,46.0,False,6.513672,0.3510595,0.68503314
CHEMBL312902,c1ccc2c(c1)c(=O)c(c(o2)O)CC3C(c4ccccc4OC3=O)O,O=C1Oc2ccccc2C(O)C1Cc1c(O)oc2ccccc2c1=O,CHEMBL312902,negative,DUD-E inactives_nM_chembl,IC50,>,100000.0,4.0,25,338.32,2,O=C1Oc2ccccc2CC1Cc1coc2ccccc2c1=O,-8.722,-8.58,5,25.5,True,3.9667969,0.08263708,0.5123062
