ligand_id,vina_affinity,vina_affinity_2,n_poses,seconds,hit_7
CHEMBL320767,-5.631,-5.541,5,17.4,False
CHEMBL322094,-7.934,-7.874,5,47.3,True
CHEMBL329627,-8.056,-7.467,5,29.9,True
CHEMBL333820,-6.299,-6.12,5,14.9,False
CHEMBL343044,-6.215,-6.137,5,150.2,False
CHEMBL35046,-6.794,-6.402,5,55.3,False
CHEMBL35980,-7.412,-7.334,5,464.4,True
CHEMBL364568,-7.968,-7.721,5,286.4,True
CHEMBL37048,-6.98,-6.939,5,46.0,False
CHEMBL371589,-8.153,-8.079,5,186.5,True
CHEMBL37624,-7.144,-7.088,5,31.4,True
CHEMBL37953,-7.71,-7.658,5,43.3,True
CHEMBL38154,-9.412,-9.179,5,165.2,True
CHEMBL39772,-7.561,-7.454,5,38.4,True
CHEMBL40645,-6.647,-6.596,5,94.6,False
CHEMBL412862,-7.864,-7.81,5,529.6,True
CHEMBL415722,-8.905,-8.832,5,70.6,True
CHEMBL431195,-8.56,-8.502,5,164.8,True
CHEMBL432212,-8.624,-8.43,5,74.1,True
CHEMBL43922,-7.514,-7.399,5,123.6,True
CHEMBL440364,-8.469,-8.191,5,110.6,True
CHEMBL57707,-7.711,-7.171,5,555.5,True
CHEMBL62390,-8.316,-8.228,5,49.3,True
CHEMBL64588,-7.393,-7.347,5,20.1,True
CHEMBL81697,-8.478,-8.357,5,51.5,True
CHEMBL84199,-7.081,-6.921,5,14.8,True
CHEMBL84254,-7.821,-7.538,5,20.3,True
CHEMBL84281,-7.789,-7.64,5,22.3,True
CHEMBL86563,-8.404,-8.334,5,27.8,True
CHEMBL87092,-7.247,-7.099,5,87.0,True
CHEMBL88167,-7.449,-7.387,5,33.0,True
CHEMBL90284,-7.427,-7.171,5,89.2,True
CHEMBL96869,-7.983,-7.87,5,82.4,True
DEC0001,-9.811,-9.765,5,105.2,True
DEC0002,-9.093,-8.739,5,80.1,True
DEC0003,-9.562,-9.514,5,58.5,True
DEC0004,-8.165,-7.984,5,70.2,True
DEC0005,-7.569,-7.536,5,166.9,True
DEC0006,-9.634,-8.694,5,64.3,True
DEC0007,-7.969,-7.907,5,76.6,True
DEC0008,-8.592,-8.528,5,127.7,True
DEC0009,-8.034,-7.998,5,79.3,True
DEC0010,-8.149,-8.079,5,95.2,True
DEC0011,-7.492,-7.364,5,12.7,True
DEC0012,-8.67,-8.435,5,82.9,True
DEC0013,-7.737,-7.576,5,24.4,True
DEC0014,-8.991,-8.918,5,107.4,True
DEC0015,-6.079,-6.055,5,29.3,False
DEC0016,-8.939,-8.684,5,166.1,True
DEC0017,-8.274,-7.967,5,146.8,True
DEC0018,-8.029,-7.976,5,110.8,True
DEC0019,-7.63,-7.499,5,107.0,True
DEC0020,-8.044,-7.968,5,104.3,True
DEC0021,-8.193,-8.147,5,95.1,True
DEC0022,-8.183,-8.171,5,21.9,True
DEC0023,-7.47,-7.312,5,117.4,True
DEC0024,-8.543,-8.04,5,89.4,True
DEC0025,-8.206,-8.182,5,49.6,True
DEC0026,-8.116,-7.983,5,169.6,True
DEC0027,-7.647,-7.484,5,92.5,True
DEC0028,-8.14,-8.0,5,142.5,True
DEC0029,-8.443,-8.433,5,116.9,True
DEC0030,-8.289,-8.207,5,58.9,True
DEC0031,-7.561,-7.263,5,159.9,True
DEC0032,-7.909,-7.672,5,61.5,True
DEC0033,-8.718,-8.668,5,41.3,True
DEC0034,-6.805,-6.597,4,124.5,False
DEC0035,-9.015,-8.937,5,73.0,True
DEC0036,-8.033,-8.025,5,77.6,True
DEC0037,-8.433,-8.299,5,85.3,True
DEC0038,-8.883,-8.532,5,48.4,True
DEC0039,-9.01,-8.562,5,16.3,True
DEC0040,-9.915,-9.897,5,84.4,True
DEC0041,-7.518,-7.51,5,23.8,True
DEC0042,-8.476,-8.444,5,111.3,True
DEC0043,-7.052,-6.952,5,84.4,True
DEC0044,-9.041,-8.878,5,54.5,True
DEC0045,-10.921,-10.649,5,111.3,True
DEC0046,-8.067,-7.949,5,141.5,True
DEC0047,-8.993,-8.842,5,68.5,True
DEC0048,-7.647,-7.631,5,143.7,True
DEC0049,-8.115,-8.077,5,94.4,True
DEC0050,-8.978,-8.894,5,73.6,True
DEC0051,-7.43,-7.346,5,137.1,True
DEC0052,-7.156,-7.08,5,120.1,True
DEC0053,-8.087,-7.952,5,147.5,True
DEC0054,-9.5,-9.419,5,147.1,True
DEC0055,-10.312,-9.936,5,66.3,True
DEC0056,-7.751,-7.678,5,115.7,True
DEC0057,-7.071,-6.896,5,153.5,True
DEC0058,-7.541,-7.432,5,27.4,True
DEC0059,-7.976,-7.969,5,58.3,True
DEC0060,-9.385,-8.997,5,91.2,True
DEC0061,-6.985,-6.724,5,153.0,False
DEC0062,-9.195,-9.026,5,162.4,True
DEC0063,-8.913,-8.674,5,115.9,True
DEC0064,-7.957,-7.926,5,77.5,True
DEC0065,-7.45,-7.441,5,24.9,True
DEC0066,-9.6,-9.32,5,50.7,True
DEC0067,-8.974,-8.534,5,72.7,True
DEC0068,-8.53,-8.375,5,51.1,True
DEC0069,-9.035,-8.987,5,136.7,True
DEC0070,-8.571,-8.105,5,107.7,True
DEC0071,-7.531,-7.495,5,85.5,True
DEC0072,-9.286,-9.015,5,70.0,True
DEC0073,-8.275,-8.263,5,103.1,True
DEC0074,-8.218,-8.15,5,83.4,True
DEC0075,-9.44,-9.287,5,79.5,True
DEC0076,-9.494,-9.351,5,107.9,True
DEC0077,-8.028,-8.0,5,62.8,True
DEC0078,-7.862,-7.796,5,136.9,True
DEC0079,-9.343,-9.285,5,93.7,True
DEC0080,-8.724,-8.433,5,80.7,True
DEC0081,-10.519,-10.518,5,64.8,True
DEC0082,-8.389,-8.372,5,57.8,True
DEC0083,-5.556,-5.082,5,21.3,False
DEC0084,-7.94,-7.925,5,173.2,True
DEC0085,-8.013,-7.941,5,151.0,True
DEC0086,-8.725,-8.707,5,67.9,True
DEC0087,-7.27,-7.24,5,19.0,True
DEC0088,-9.869,-9.691,5,116.6,True
DEC0089,-8.111,-7.955,5,21.7,True
DEC0090,-7.985,-7.697,5,152.6,True
DEC0091,-7.352,-7.275,5,193.7,True
DEC0092,-6.683,-6.678,5,215.1,False
DEC0093,-6.691,-6.683,5,101.5,False
DEC0094,-8.104,-8.049,5,74.5,True
DEC0095,-10.101,-9.995,5,95.9,True
DEC0096,-8.754,-8.606,5,64.0,True
DEC0097,-8.832,-8.539,5,186.8,True
DEC0098,-7.399,-7.358,5,123.2,True
DEC0099,-9.692,-9.369,5,51.6,True
DEC0100,-7.53,-7.229,5,204.9,True
DEC0101,-8.464,-8.361,5,110.3,True
DEC0102,-9.504,-8.802,5,79.3,True
DEC0103,-8.89,-8.331,5,30.0,True
DEC0104,-8.645,-8.592,5,106.6,True
DEC0105,-7.373,-7.334,5,81.5,True
DEC0106,-8.717,-8.492,5,87.8,True
DEC0107,-10.317,-10.297,5,72.5,True
DEC0108,-7.284,-7.191,5,100.4,True
DEC0109,-9.148,-8.823,5,62.9,True
DEC0110,-9.156,-8.96,5,90.9,True
DEC0111,-7.858,-7.78,5,107.7,True
DEC0112,-7.271,-7.269,5,143.5,True
DEC0113,-8.514,-8.493,5,37.6,True
DEC0114,-7.485,-7.213,5,44.9,True
DEC0115,-7.253,-6.884,5,34.0,True
DEC0116,-8.642,-8.57,5,33.7,True
DEC0117,-7.352,-7.306,5,54.4,True
DEC0118,-8.237,-8.22,5,110.8,True
DEC0119,-8.199,-8.166,5,123.9,True
DEC0120,-6.838,-6.635,5,15.4,False
DEC0121,-8.189,-8.076,5,30.4,True
DEC0122,-9.968,-9.693,5,87.1,True
DEC0123,-8.624,-8.504,5,116.3,True
DEC0124,-7.43,-7.296,5,96.4,True
DEC0125,-7.919,-7.536,5,105.4,True
DEC0126,-8.864,-8.8,5,60.4,True
DEC0127,-7.382,-7.326,5,78.9,True
DEC0128,-7.661,-7.489,5,83.8,True
DEC0129,-8.424,-8.361,5,36.7,True
DEC0130,-8.31,-8.278,5,59.7,True
